Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Hôtel Holiday Inn Express Arras,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.286422,2.77929,https://www.ihg.com/holidayinnexpress/hotels/fr/fr/arras/lilar/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-FR-_-LILAR
Dartmoor cottage,Hébergement,Merris,59270,Nord,Hauts-de-France,50.71408,2.66831,https://www.dartmoor-cottage.fr/gite-devon/
HÔTEL IBIS STYLES ARRAS CENTRE,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.295726,2.78342,https://all.accor.com/hotel/B5E7/index.fr.shtml
Le logis des remparts,Hébergement,Cassel,59670,Nord,Hauts-de-France,50.80189,2.48159,
Les Glycines,Hébergement,Cassel,59670,Nord,Hauts-de-France,50.79743,2.49572,
hotelF1 Calais Coquelles,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.931905,1.799095,https://hotelf1.accor.com/home/index.fr.shtml
Chez madame Dehaine,Hébergement,Winnezeele,59670,Nord,Hauts-de-France,50.84975,2.57119,
Chambre du Moulin Ghyselen,Hébergement,Caëstre,59190,Nord,Hauts-de-France,50.75058,2.60868,
O Clos du Rhuis,Hébergement,Rhuis,60410,Oise,Hauts-de-France,49.30556,2.69096,
B&B Arras,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.302203,2.734711,https://www.hotel-bb.com/fr/hotel/arras?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=yext
Hôtel Le Passe Temps,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.287808,2.781849,
Hôtel Moderne,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287731,2.781899,https://www.hotel-moderne-arras.com/
Hôtel Moderne,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287957,2.781377,http://www.hotel-moderne-arras.com/
Chez Christine et Michel,Hébergement,Sainte-Marie-Cappel,59670,Nord,Hauts-de-France,50.77945,2.50683,
Au Bonheur Frontalier,Hébergement,Steenvoorde,59114,Nord,Hauts-de-France,50.83637,2.59714,
Au gré de Cassel,Hébergement,Steenvoorde,59670,Nord,Hauts-de-France,50.8000619,2.486235,https://www.augredecassel.com/
Chez Sylvie et Jean-Luc,Hébergement,Steenvoorde,59114,Nord,Hauts-de-France,50.80882,2.5807,https://chambresteenvoorde-26.webself.net/accueil
Hôtel Les Trois Luppars,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.292964,2.780449,http://www.hotel-les3luppars.com/
Hôtel de L'univers,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.288997,2.773549,https://www.univers.najeti.fr/fr
Chambres d'hôtes la ferme au bois dormant,Hébergement,Wemaers-Cappel,59670,Nord,Hauts-de-France,50.82521,2.4423,
Le mont des Cats perchés,Hébergement,Godewaersvelde,59270,Nord,Hauts-de-France,50.78668,2.65937,
Dôme Hôtel,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.288135,2.779251,https://katestravelexperience.eu/le-dome-arras-france?correlationID=0c07d88a-a12b-4249-9293-d39afdac2aa6
Le Passe Temps,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.287762,2.781941,
Dartmoor cottage - Gîte Dartmoor,Hébergement,Merris,59270,Nord,Hauts-de-France,50.71408,2.66831,https://www.dartmoor-cottage.fr/gite-devon/
Sure Hôtel By Western Calais Coquelles,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.931509,1.798918,https://www.bestwestern.fr/fr/hotel-Coquelles-Sure-Hotel-by-Best-Western-Calais-Coquelles-Tunnel-s--Manche-93911
