Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Bibliothéque Municipale,"Site sportif, récréatif et de loisirs,Site culturel",Saint-Sernin,07200,Ardèche,Auvergne-Rhône-Alpes,44.570725,4.393912,
Bibliothèque Arsène Héritier - Musée de Valence,"Site sportif, récréatif et de loisirs,Site culturel",Valence,26000,Drôme,Auvergne-Rhône-Alpes,44.931149,4.888964,https://www.museedevalence.fr/fr/bibliotheque-arsene-heritier
Baieta,Restauration,Valence,26000,Drôme,Auvergne-Rhône-Alpes,44.909741,4.878799,
La Gravière - Camping de mon village,Hébergement,Louroux-de-Bouble,03330,Allier,Auvergne-Rhône-Alpes,46.229396,2.998152,
Eglise,Site culturel,Monthieux,01390,Ain,Auvergne-Rhône-Alpes,45.954969,4.939899,
Les Toiles de Daniel Sarrabat,Site culturel,Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.172877,4.800858,http://tourisme-val-de-saone.fr/
Site d'escalade,"Site sportif, récréatif et de loisirs",Rochemaure,07400,Ardèche,Auvergne-Rhône-Alpes,44.585833,4.706656,http://www.piedmain.over-blog.com/
Bibliothèque Municipale de Saint-Symphorien-sous-Chomérac,"Site sportif, récréatif et de loisirs,Site culturel",Saint-Symphorien-sous-Chomérac,07210,Ardèche,Auvergne-Rhône-Alpes,44.719401,4.704217,"https://cruas-pom.c3rb.org/,http://www.mairie-le-teil.fr/"
Restaurant Le Clos Charmant,Restauration,Vallon-Pont-d'Arc,07150,Ardèche,Auvergne-Rhône-Alpes,44.404305,4.392866,http://www.lecloscharmant.com/
Musée de la Figurine Paul Cibert,Site culturel,Tulette,26790,Drôme,Auvergne-Rhône-Alpes,44.286534,4.931917,https://museefigurinetulette.wixsite.com/paulcibert
Le Kiosque à Pizzas,Restauration,Le Teil,07400,Ardèche,Auvergne-Rhône-Alpes,44.559515,4.690887,https://www.le-kiosque-a-pizzas.com/commander-pizza-le-teil--459
Caveau  de Valvignères,Fournisseur de dégustation,Valvignères,07400,Ardèche,Auvergne-Rhône-Alpes,44.500833,4.5775,http://www.cavevalvigneres.fr/
Chez Le Pèr' Gras,Restauration,La Tronche,38700,Isère,Auvergne-Rhône-Alpes,45.201355,5.72584,"http://www.pergras.fr/?utm_source=gmb,https://pergras.com/"
"Pensions, attelage, coaching, promenade en calèche","Site sportif, récréatif et de loisirs",Chaleins,01480,Ain,Auvergne-Rhône-Alpes,46.038865,4.815498,
Restaurant des Alliés,Restauration,Pont-d'Ain,01160,Ain,Auvergne-Rhône-Alpes,46.048919,5.335565,
Golf de la Sorelle,"Site sportif, récréatif et de loisirs",Villette-sur-Ain,01320,Ain,Auvergne-Rhône-Alpes,45.999355,5.258942,https://www.golf-lasorelle.com/
Varambon,Site culturel,Varambon,01160,Ain,Auvergne-Rhône-Alpes,46.040255,5.317069,http://www.varambon.com/
